,long,lat,group,District
133,77.56170051,18.28508331,1,Bidar
134,77.57261992,18.29321706,1,Bidar
135,77.57295081,18.29321706,1,Bidar
136,77.60537815,18.28150446,1,Bidar
137,77.60074567,18.27564816,1,Bidar
138,77.60041478,18.27564816,1,Bidar
139,77.57195814,18.2440892,1,Bidar
140,77.58552468,18.21968795,1,Bidar
141,77.56368585,18.19561205,1,Bidar
142,77.58122309,18.16242634,1,Bidar
143,77.59677498,18.15591934,1,Bidar
144,77.59876033,18.09442818,1,Bidar
145,77.59876033,18.09345213,1,Bidar
146,77.59842943,18.09312678,1,Bidar
147,77.57295081,18.07881138,1,Bidar
148,77.56302407,18.07328043,1,Bidar
149,77.54780307,18.05603688,1,Bidar
150,77.55375912,18.03586517,1,Bidar
151,77.58056131,18.03163562,1,Bidar
152,77.5885027,18.01211462,1,Bidar
153,77.60603993,18.02024837,1,Bidar
154,77.62787876,17.99682317,1,Bidar
155,77.64905579,17.99877527,1,Bidar
156,77.65600451,17.96884307,1,Bidar
157,77.65567362,17.96851772,1,Bidar
158,77.64938669,17.94997276,1,Bidar
159,77.63714371,17.95225021,1,Bidar
160,77.63317301,17.96754167,1,Bidar
161,77.62456984,17.95973326,1,Bidar
162,77.63251123,17.94671926,1,Bidar
163,77.6186138,17.93956156,1,Bidar
164,77.61894469,17.90409841,1,Bidar
165,77.58618646,17.90767726,1,Bidar
166,77.59909122,17.87319015,1,Bidar
167,77.57659061,17.8754676,1,Bidar
168,77.55409001,17.8201581,1,Bidar
169,77.52828049,17.8279665,1,Bidar
170,77.52894227,17.81300039,1,Bidar
171,77.50644167,17.78599634,1,Bidar
172,77.53754545,17.77981469,1,Bidar
173,77.55475179,17.76387254,1,Bidar
174,77.56931101,17.76647534,1,Bidar
175,77.56864922,17.74890644,1,Bidar
176,77.54614862,17.72678263,1,Bidar
177,77.52199356,17.72613193,1,Bidar
178,77.4525064,17.69457298,1,Bidar
179,77.44820481,17.65097607,1,Bidar
180,77.45581531,17.63405787,1,Bidar
181,77.45548442,17.63275647,1,Bidar
182,77.45283729,17.62071852,1,Bidar
183,77.44423412,17.58427931,1,Bidar
184,77.44324144,17.58427931,1,Bidar
185,76.68583139,17.68220968,2,Kalaburagi
186,76.69443456,17.66268867,2,Kalaburagi
187,76.69443456,17.66203797,2,Kalaburagi
188,76.69575812,17.66171262,2,Kalaburagi
189,76.71097912,17.66138727,2,Kalaburagi
190,76.70899377,17.65813377,2,Kalaburagi
191,76.7003906,17.64479442,2,Kalaburagi
192,76.69906704,17.64251697,2,Kalaburagi
193,76.71428803,17.63893812,2,Kalaburagi
194,76.73281794,17.66561682,2,Kalaburagi
195,76.77351757,17.66691822,2,Kalaburagi
196,76.77020865,17.64642117,2,Kalaburagi
197,76.77848093,17.63600997,2,Kalaburagi
198,76.79304015,17.65325352,2,Kalaburagi
199,76.89892535,17.64479442,2,Kalaburagi
200,76.90785941,17.63503392,2,Kalaburagi
201,76.92903645,17.63763672,2,Kalaburagi
202,76.91778615,17.62364667,2,Kalaburagi
203,76.92109506,17.61063267,2,Kalaburagi
204,76.94028675,17.60900592,2,Kalaburagi
205,76.98727331,17.65813377,2,Kalaburagi
206,76.97701568,17.67993223,2,Kalaburagi
207,76.99091311,17.69587438,2,Kalaburagi
208,77.0177153,17.67798013,2,Kalaburagi
209,77.03425987,17.68058293,2,Kalaburagi
210,77.03525254,17.66952103,2,Kalaburagi
211,77.05808403,17.67309988,2,Kalaburagi
212,77.08521712,17.65910982,2,Kalaburagi
213,77.12426228,17.68578853,2,Kalaburagi
214,77.12591674,17.68676458,2,Kalaburagi
215,77.1500718,17.63243112,2,Kalaburagi
216,77.18878608,17.61551292,2,Kalaburagi
217,77.19772014,17.63210577,2,Kalaburagi
218,77.27316334,17.62722552,2,Kalaburagi
219,77.27448691,17.62690017,2,Kalaburagi
220,77.27448691,17.62690017,2,Kalaburagi
221,77.29764929,17.60640312,2,Kalaburagi
222,77.31055405,17.59534122,2,Kalaburagi
223,77.34033427,17.58785816,2,Kalaburagi
224,77.35952596,17.60022147,2,Kalaburagi
225,77.37937943,17.59501586,2,Kalaburagi
226,77.37871765,17.58395396,2,Kalaburagi
227,77.44324144,17.58427931,2,Kalaburagi
228,77.44324144,17.58395396,2,Kalaburagi
229,77.4525064,17.58102581,2,Kalaburagi
230,77.46177135,17.58070046,2,Kalaburagi
231,77.46640383,17.57679626,2,Kalaburagi
